File,Description
Config831,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config832,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config841,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config842,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config851,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config852,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config861,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config862,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config871,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config872,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config881,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config882,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config891,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
